year,month,cat_id,monthly_sales
2013,2,FOODS,685611
2013,2,HOBBIES,91424
2013,2,HOUSEHOLD,233625
2013,3,FOODS,759324
2013,3,HOBBIES,96534
2013,3,HOUSEHOLD,261712
2013,4,FOODS,681137
2013,4,HOBBIES,102498
2013,4,HOUSEHOLD,250401
2013,5,FOODS,718366
2013,5,HOBBIES,104388
2013,5,HOUSEHOLD,251929
2013,6,FOODS,772864
2013,6,HOBBIES,110238
2013,6,HOUSEHOLD,252491
2013,7,FOODS,800588
2013,7,HOBBIES,103143
2013,7,HOUSEHOLD,255736
2013,8,FOODS,835727
2013,8,HOBBIES,103569
2013,8,HOUSEHOLD,265517
2013,9,FOODS,815622
2013,9,HOBBIES,94650
2013,9,HOUSEHOLD,256243
2013,10,FOODS,764008
2013,10,HOBBIES,110707
2013,10,HOUSEHOLD,249808
2013,11,FOODS,709657
2013,11,HOBBIES,104877
2013,11,HOUSEHOLD,230265
2013,12,FOODS,732293
2013,12,HOBBIES,106435
2013,12,HOUSEHOLD,215806
2014,1,FOODS,737475
2014,1,HOBBIES,102807
2014,1,HOUSEHOLD,216730
2014,2,FOODS,681348
2014,2,HOBBIES,91984
2014,2,HOUSEHOLD,236428
2014,3,FOODS,765733
2014,3,HOBBIES,100565
2014,3,HOUSEHOLD,257408
2014,4,FOODS,769819
2014,4,HOBBIES,94810
2014,4,HOUSEHOLD,239658
2014,5,FOODS,755795
2014,5,HOBBIES,99818
2014,5,HOUSEHOLD,237479
2014,6,FOODS,773507
2014,6,HOBBIES,99015
2014,6,HOUSEHOLD,237509
2014,7,FOODS,801572
2014,7,HOBBIES,98066
2014,7,HOUSEHOLD,252126
2014,8,FOODS,813061
2014,8,HOBBIES,98635
2014,8,HOUSEHOLD,272406
2014,9,FOODS,750486
2014,9,HOBBIES,91092
2014,9,HOUSEHOLD,246836
2014,10,FOODS,745506
2014,10,HOBBIES,105247
2014,10,HOUSEHOLD,252325
2014,11,FOODS,714904
2014,11,HOBBIES,99696
2014,11,HOUSEHOLD,236478
2014,12,FOODS,686319
2014,12,HOBBIES,102111
2014,12,HOUSEHOLD,225022
2015,1,FOODS,736030
2015,1,HOBBIES,103145
2015,1,HOUSEHOLD,243940
2015,2,FOODS,671961
2015,2,HOBBIES,103219
2015,2,HOUSEHOLD,256697
2015,3,FOODS,724905
2015,3,HOBBIES,113401
2015,3,HOUSEHOLD,281421
2015,4,FOODS,710301
2015,4,HOBBIES,111371
2015,4,HOUSEHOLD,271757
2015,5,FOODS,741404
2015,5,HOBBIES,119993
2015,5,HOUSEHOLD,291617
2015,6,FOODS,763726
2015,6,HOBBIES,111843
2015,6,HOUSEHOLD,280030
2015,7,FOODS,809505
2015,7,HOBBIES,118943
2015,7,HOUSEHOLD,303699
2015,8,FOODS,811161
2015,8,HOBBIES,121303
2015,8,HOUSEHOLD,321877
2015,9,FOODS,780594
2015,9,HOBBIES,114534
2015,9,HOUSEHOLD,293785
2015,10,FOODS,819910
2015,10,HOBBIES,128230
2015,10,HOUSEHOLD,300297
2015,11,FOODS,719316
2015,11,HOBBIES,119644
2015,11,HOUSEHOLD,275016
2015,12,FOODS,725042
2015,12,HOBBIES,124529
2015,12,HOUSEHOLD,276665
2016,1,FOODS,807440
2016,1,HOBBIES,117553
2016,1,HOUSEHOLD,290293
2016,2,FOODS,804739
2016,2,HOBBIES,112939
2016,2,HOUSEHOLD,295249
2016,3,FOODS,855454
2016,3,HOBBIES,116241
2016,3,HOUSEHOLD,304051
2016,4,FOODS,702312
2016,4,HOBBIES,97019
2016,4,HOUSEHOLD,247357
